freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.230e+02,3.020e+01,4.197e+01,2.952e+02
1.6,2.206e+02,1.562e+02,1.166e+02,4.934e+02
3.3,1.542e+02,1.794e+02,1.195e+02,4.531e+02
4.9,7.563e+02,1.862e+02,1.238e+02,1.066e+03
6.6,1.933e+03,2.005e+02,1.224e+02,2.256e+03
8.2,3.132e+03,2.046e+02,1.218e+02,3.459e+03
9.9,4.769e+03,1.986e+02,1.372e+02,5.105e+03
11.5,6.645e+03,1.943e+02,1.473e+02,6.987e+03
13.2,8.949e+03,2.044e+02,1.309e+02,9.284e+03
14.8,1.097e+04,2.339e+02,1.376e+02,1.134e+04
16.5,1.294e+04,2.328e+02,1.766e+02,1.335e+04
18.1,1.569e+04,2.072e+02,1.966e+02,1.609e+04
19.8,1.737e+04,1.990e+02,2.418e+02,1.781e+04
21.4,1.853e+04,1.969e+02,2.399e+02,1.897e+04
23.1,2.366e+04,2.084e+02,2.403e+02,2.411e+04
24.7,3.008e+04,2.440e+02,4.541e+02,3.078e+04
26.4,3.633e+04,2.962e+02,1.041e+03,3.767e+04
28.0,4.048e+04,3.713e+02,1.819e+03,4.267e+04
29.7,4.023e+04,4.551e+02,2.159e+03,4.284e+04
31.3,4.087e+04,5.288e+02,1.402e+03,4.280e+04
33.0,4.539e+04,5.926e+02,8.641e+02,4.684e+04
34.6,5.015e+04,5.609e+02,9.534e+02,5.166e+04
36.3,4.773e+04,5.898e+02,7.932e+02,4.911e+04
37.9,5.411e+04,7.699e+02,4.729e+02,5.536e+04
39.6,6.691e+04,6.247e+02,7.537e+02,6.829e+04
41.2,7.658e+04,3.673e+02,1.547e+03,7.849e+04
42.9,9.568e+04,3.325e+02,3.050e+03,9.906e+04
44.5,1.382e+05,2.882e+02,6.399e+03,1.449e+05
46.2,1.881e+05,2.295e+02,1.105e+04,1.994e+05
47.8,2.367e+05,2.925e+02,1.540e+04,2.524e+05
49.5,2.926e+05,4.116e+02,2.092e+04,3.140e+05
51.1,3.434e+05,5.729e+02,2.813e+04,3.721e+05
52.8,4.223e+05,7.417e+02,4.077e+04,4.638e+05
54.4,5.056e+05,9.785e+02,5.922e+04,5.658e+05
56.1,4.982e+05,1.306e+03,7.001e+04,5.695e+05
57.7,3.486e+05,1.471e+03,5.996e+04,4.100e+05
59.4,2.206e+05,1.551e+03,4.389e+04,2.660e+05
61.0,1.119e+05,1.603e+03,2.495e+04,1.384e+05
62.7,7.747e+04,2.363e+03,2.092e+04,1.008e+05
64.3,5.441e+04,2.940e+03,1.916e+04,7.651e+04
66.0,3.417e+04,3.081e+03,1.593e+04,5.318e+04
67.6,3.228e+04,2.453e+03,1.540e+04,5.013e+04
69.3,1.997e+04,2.405e+03,1.208e+04,3.445e+04
70.9,6.924e+03,3.244e+03,9.091e+03,1.926e+04
72.6,2.949e+03,4.588e+03,8.324e+03,1.586e+04
74.2,2.561e+03,5.154e+03,8.117e+03,1.583e+04
75.9,3.521e+03,5.189e+03,8.957e+03,1.767e+04
77.5,4.026e+03,5.506e+03,1.066e+04,2.019e+04
