freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.050e+02,2.226e+02,3.369e+02,6.645e+02
1.7,1.683e+02,3.177e+02,2.822e+02,7.681e+02
3.4,1.343e+02,2.677e+02,2.046e+02,6.066e+02
5.1,1.402e+02,2.585e+02,1.170e+03,1.569e+03
6.8,1.636e+02,2.562e+02,2.924e+03,3.343e+03
8.6,1.624e+02,2.926e+02,4.974e+03,5.428e+03
10.3,1.678e+02,3.131e+02,7.517e+03,7.998e+03
12.0,1.791e+02,3.042e+02,9.202e+03,9.686e+03
13.7,2.513e+02,3.753e+02,1.380e+04,1.443e+04
15.4,5.703e+02,7.100e+02,2.187e+04,2.315e+04
17.1,9.365e+02,8.807e+02,2.802e+04,2.984e+04
18.8,1.330e+03,1.112e+03,3.205e+04,3.450e+04
20.5,1.511e+03,1.372e+03,3.140e+04,3.428e+04
22.3,2.906e+03,4.263e+03,4.970e+04,5.687e+04
24.0,9.716e+03,7.922e+03,7.683e+04,9.447e+04
25.7,2.863e+04,1.149e+04,1.094e+05,1.496e+05
27.4,5.467e+04,1.773e+04,1.422e+05,2.146e+05
29.1,5.490e+04,2.169e+04,1.355e+05,2.121e+05
30.8,2.833e+04,2.814e+04,1.857e+05,2.422e+05
32.5,1.127e+04,6.406e+04,2.683e+05,3.436e+05
34.2,2.953e+04,1.083e+05,3.209e+05,4.588e+05
35.9,7.950e+04,1.496e+05,4.450e+05,6.741e+05
37.7,9.714e+04,2.004e+05,4.678e+05,7.654e+05
39.4,4.862e+04,2.750e+05,3.541e+05,6.777e+05
41.1,2.800e+04,2.415e+05,1.468e+05,4.163e+05
42.8,4.088e+04,2.232e+05,4.933e+04,3.134e+05
44.5,6.536e+04,2.769e+05,3.412e+04,3.764e+05
46.2,1.019e+05,3.334e+05,3.482e+04,4.701e+05
47.9,1.494e+05,3.511e+05,3.557e+04,5.361e+05
49.6,1.617e+05,2.020e+05,3.290e+04,3.967e+05
51.4,1.010e+05,4.645e+04,2.408e+04,1.715e+05
53.1,6.606e+04,4.229e+04,1.149e+04,1.198e+05
54.8,5.386e+04,9.166e+04,1.031e+04,1.558e+05
56.5,4.741e+04,2.242e+05,3.718e+04,3.088e+05
58.2,3.867e+04,3.058e+05,7.159e+04,4.160e+05
59.9,3.726e+04,2.180e+05,6.799e+04,3.233e+05
61.6,4.408e+04,1.366e+05,5.302e+04,2.337e+05
63.3,4.118e+04,9.386e+04,4.076e+04,1.758e+05
65.0,3.924e+04,6.326e+04,3.110e+04,1.336e+05
66.8,4.384e+04,4.442e+04,2.340e+04,1.117e+05
68.5,6.237e+04,5.441e+04,2.112e+04,1.379e+05
70.2,8.892e+04,1.235e+05,3.766e+04,2.501e+05
71.9,7.735e+04,1.624e+05,5.269e+04,2.924e+05
73.6,4.435e+04,1.247e+05,4.457e+04,2.136e+05
75.3,2.360e+04,7.581e+04,3.098e+04,1.304e+05
77.0,1.586e+04,5.821e+04,2.619e+04,1.003e+05
78.7,6.803e+03,4.209e+04,2.112e+04,7.001e+04
80.5,3.530e+03,3.240e+04,1.690e+04,5.283e+04
82.2,3.302e+03,2.654e+04,1.418e+04,4.402e+04
83.9,4.046e+03,2.087e+04,1.243e+04,3.734e+04
